GeneID,GO
Lsat_1_v5_gn_0_10121,GO:0005634
Lsat_1_v5_gn_0_10220,GO:0003682
Lsat_1_v5_gn_0_10320,GO:0008152
Lsat_1_v5_gn_0_10320,GO:0016491
Lsat_1_v5_gn_0_10360,GO:0004864
Lsat_1_v5_gn_0_10360,GO:0009966
Lsat_1_v5_gn_0_10360,GO:0043666
Lsat_1_v5_gn_0_1041,GO:0008270
Lsat_1_v5_gn_0_1041,GO:0016491
Lsat_1_v5_gn_0_1041,GO:0016747
Lsat_1_v5_gn_0_1041,GO:0055114
Lsat_1_v5_gn_0_10420,GO:0016787
Lsat_1_v5_gn_0_10441,GO:0016021
Lsat_1_v5_gn_0_10461,GO:0004152
Lsat_1_v5_gn_0_10461,GO:0004356
Lsat_1_v5_gn_0_10461,GO:0006222
Lsat_1_v5_gn_0_10461,GO:0006542
Lsat_1_v5_gn_0_10461,GO:0006807
Lsat_1_v5_gn_0_10461,GO:0055114
Lsat_1_v5_gn_0_10560,GO:0005515
Lsat_1_v5_gn_0_10560,GO:0008270
Lsat_1_v5_gn_0_10580,GO:0003824
Lsat_1_v5_gn_0_10620,GO:0000166
Lsat_1_v5_gn_0_10620,GO:0000287
Lsat_1_v5_gn_0_10620,GO:0004012
Lsat_1_v5_gn_0_10620,GO:0005524
Lsat_1_v5_gn_0_10620,GO:0015914
Lsat_1_v5_gn_0_10620,GO:0016021
Lsat_1_v5_gn_0_10620,GO:0046872
Lsat_1_v5_gn_0_10661,GO:0005215
Lsat_1_v5_gn_0_10661,GO:0006810
Lsat_1_v5_gn_0_10661,GO:0016020
Lsat_1_v5_gn_0_10701,GO:0005515
Lsat_1_v5_gn_0_10760,GO:0000166
Lsat_1_v5_gn_0_10760,GO:0006952
Lsat_1_v5_gn_0_10760,GO:0017111
Lsat_1_v5_gn_0_10760,GO:0043531
Lsat_1_v5_gn_0_10780,GO:0006662
Lsat_1_v5_gn_0_10780,GO:0009055
Lsat_1_v5_gn_0_10780,GO:0015035
Lsat_1_v5_gn_0_10780,GO:0045454
Lsat_1_v5_gn_0_10880,GO:0008652
Lsat_1_v5_gn_0_10920,GO:0000287
Lsat_1_v5_gn_0_10920,GO:0004743
Lsat_1_v5_gn_0_10920,GO:0006096
Lsat_1_v5_gn_0_10920,GO:0030955
Lsat_1_v5_gn_0_10941,GO:0000786
Lsat_1_v5_gn_0_10941,GO:0003677
Lsat_1_v5_gn_0_10941,GO:0005634
Lsat_1_v5_gn_0_10941,GO:0006334
Lsat_1_v5_gn_0_10961,GO:0003735
Lsat_1_v5_gn_0_10961,GO:0005622
Lsat_1_v5_gn_0_10961,GO:0005840
Lsat_1_v5_gn_0_10961,GO:0006412
Lsat_1_v5_gn_0_10961,GO:0008152
Lsat_1_v5_gn_0_10961,GO:0016746
Lsat_1_v5_gn_0_11160,GO:0004553
Lsat_1_v5_gn_0_11160,GO:0005975
Lsat_1_v5_gn_0_11461,GO:0005515
Lsat_1_v5_gn_0_11461,GO:0005737
Lsat_1_v5_gn_0_11501,GO:0006071
Lsat_1_v5_gn_0_11501,GO:0008889
Lsat_1_v5_gn_0_11681,GO:0004672
Lsat_1_v5_gn_0_11681,GO:0005524
Lsat_1_v5_gn_0_11681,GO:0006468
Lsat_1_v5_gn_0_11721,GO:0005975
Lsat_1_v5_gn_0_11721,GO:0016853
Lsat_1_v5_gn_0_11801,GO:0004672
Lsat_1_v5_gn_0_11801,GO:0005524
Lsat_1_v5_gn_0_11801,GO:0006468
Lsat_1_v5_gn_0_11820,GO:0003700
Lsat_1_v5_gn_0_11820,GO:0005634
Lsat_1_v5_gn_0_11820,GO:0006355
Lsat_1_v5_gn_0_11820,GO:0043565
Lsat_1_v5_gn_0_11900,GO:0016620
Lsat_1_v5_gn_0_11900,GO:0055114
Lsat_1_v5_gn_0_11921,GO:0016020
Lsat_1_v5_gn_0_12040,GO:0005515
Lsat_1_v5_gn_0_12080,GO:0008152
Lsat_1_v5_gn_0_12080,GO:0016758
Lsat_1_v5_gn_0_12340,GO:0015079
Lsat_1_v5_gn_0_12340,GO:0016020
Lsat_1_v5_gn_0_12340,GO:0071805
Lsat_1_v5_gn_0_12381,GO:0005515
Lsat_1_v5_gn_0_12400,GO:0005515
Lsat_1_v5_gn_0_1241,GO:0006629
Lsat_1_v5_gn_0_1241,GO:0016788
Lsat_1_v5_gn_0_12501,GO:0016020
Lsat_1_v5_gn_0_12581,GO:0008270
Lsat_1_v5_gn_0_12601,GO:0016020
Lsat_1_v5_gn_0_12940,GO:0000166
Lsat_1_v5_gn_0_12940,GO:0000287
Lsat_1_v5_gn_0_12940,GO:0004012
Lsat_1_v5_gn_0_12940,GO:0005524
Lsat_1_v5_gn_0_12940,GO:0006812
Lsat_1_v5_gn_0_12940,GO:0015914
Lsat_1_v5_gn_0_12940,GO:0016021
Lsat_1_v5_gn_0_12940,GO:0019829
Lsat_1_v5_gn_0_12940,GO:0046872
Lsat_1_v5_gn_0_1300,GO:0005515
Lsat_1_v5_gn_0_13201,GO:0005783
Lsat_1_v5_gn_0_13201,GO:0016021
Lsat_1_v5_gn_0_13221,GO:0000160
Lsat_1_v5_gn_0_13221,GO:0004871
Lsat_1_v5_gn_0_13241,GO:0006357
Lsat_1_v5_gn_0_13241,GO:0032784
Lsat_1_v5_gn_0_1340,GO:0005515
Lsat_1_v5_gn_0_1340,GO:0008270
Lsat_1_v5_gn_0_13420,GO:0005515
Lsat_1_v5_gn_0_13460,GO:0016020
Lsat_1_v5_gn_0_13460,GO:0048193
Lsat_1_v5_gn_0_13500,GO:0003682
