Light,Cultivar,Color,Sample
01_WhiteLED,01_RButt,Red,Ls21v1.001.genes.results
01_WhiteLED,01_RButt,Red,Ls21v1.002.genes.results
01_WhiteLED,01_RButt,Red,Ls21v1.003.genes.results
01_WhiteLED,02_RLeaf,Red,Ls21v1.004.genes.results
01_WhiteLED,02_RLeaf,Red,Ls21v1.005.genes.results
01_WhiteLED,02_RLeaf,Red,Ls21v1.006.genes.results
01_WhiteLED,03_ROak,Red,Ls21v1.007.genes.results
01_WhiteLED,03_ROak,Red,Ls21v1.008.genes.results
01_WhiteLED,03_ROak,Red,Ls21v1.009.genes.results
01_WhiteLED,04_RCos,Red,Ls21v1.010.genes.results
01_WhiteLED,04_RCos,Red,Ls21v1.011.genes.results
01_WhiteLED,04_RCos,Red,Ls21v1.012.genes.results
01_WhiteLED,05_FancR,Red,Ls21v1.013.genes.results
01_WhiteLED,05_FancR,Red,Ls21v1.014.genes.results
01_WhiteLED,05_FancR,Red,Ls21v1.015.genes.results
01_WhiteLED,06_HandR,Red,Ls21v1.016.genes.results
01_WhiteLED,06_HandR,Red,Ls21v1.017.genes.results
01_WhiteLED,06_HandR,Red,Ls21v1.018.genes.results
01_WhiteLED,07_RFire,Red,Ls21v1.019.genes.results
01_WhiteLED,07_RFire,Red,Ls21v1.020.genes.results
01_WhiteLED,07_RFire,Red,Ls21v1.021.genes.results
01_WhiteLED,08_SunB,Red,Ls21v1.022.genes.results
01_WhiteLED,08_SunB,Red,Ls21v1.023.genes.results
01_WhiteLED,08_SunB,Red,Ls21v1.024.genes.results
01_WhiteLED,09_WineD,Red,Ls21v1.025.genes.results
01_WhiteLED,09_WineD,Red,Ls21v1.026.genes.results
01_WhiteLED,09_WineD,Red,Ls21v1.027.genes.results
01_WhiteLED,10_GOak,Green,Ls21v1.028.genes.results
01_WhiteLED,10_GOak,Green,Ls21v1.029.genes.results
01_WhiteLED,10_GOak,Green,Ls21v1.030.genes.results
01_WhiteLED,11_HandG,Green,Ls21v1.031.genes.results
01_WhiteLED,11_HandG,Green,Ls21v1.032.genes.results
01_WhiteLED,11_HandG,Green,Ls21v1.033.genes.results
01_WhiteLED,12_GLeaf,Green,Ls21v1.034.genes.results
01_WhiteLED,12_GLeaf,Green,Ls21v1.035.genes.results
01_WhiteLED,12_GLeaf,Green,Ls21v1.036.genes.results
01_WhiteLED,13_GButt,Green,Ls21v1.037.genes.results
01_WhiteLED,13_GButt,Green,Ls21v1.038.genes.results
01_WhiteLED,13_GButt,Green,Ls21v1.039.genes.results
01_WhiteLED,14_FrIce,Green,Ls21v1.040.genes.results
01_WhiteLED,14_FrIce,Green,Ls21v1.041.genes.results
01_WhiteLED,14_FrIce,Green,Ls21v1.042.genes.results
04_FL,01_RButt,Red,Ls21v1.043.genes.results
04_FL,01_RButt,Red,Ls21v1.044.genes.results
04_FL,01_RButt,Red,Ls21v1.045.genes.results
04_FL,02_RLeaf,Red,Ls21v1.046.genes.results
04_FL,02_RLeaf,Red,Ls21v1.047.genes.results
04_FL,02_RLeaf,Red,Ls21v1.048.genes.results
04_FL,03_ROak,Red,Ls21v1.049.genes.results
04_FL,03_ROak,Red,Ls21v1.050.genes.results
04_FL,03_ROak,Red,Ls21v1.051.genes.results
04_FL,04_RCos,Red,Ls21v1.052.genes.results
04_FL,04_RCos,Red,Ls21v1.053.genes.results
04_FL,04_RCos,Red,Ls21v1.054.genes.results
04_FL,05_FancR,Red,Ls21v1.055.genes.results
04_FL,05_FancR,Red,Ls21v1.056.genes.results
04_FL,05_FancR,Red,Ls21v1.057.genes.results
04_FL,06_HandR,Red,Ls21v1.058.genes.results
04_FL,06_HandR,Red,Ls21v1.059.genes.results
04_FL,06_HandR,Red,Ls21v1.060.genes.results
04_FL,07_RFire,Red,Ls21v1.061.genes.results
04_FL,07_RFire,Red,Ls21v1.062.genes.results
04_FL,07_RFire,Red,Ls21v1.063.genes.results
04_FL,08_SunB,Red,Ls21v1.064.genes.results
04_FL,08_SunB,Red,Ls21v1.065.genes.results
