Time,Treat,Cultivar,Rep,Color,Sample
0,0h,01_RLeaf,Rep_1,Red,Ls21v2.001.genes.results
0,0h,01_RLeaf,Rep_2,Red,Ls21v2.002.genes.results
0,0h,01_RLeaf,Rep_3,Red,Ls21v2.003.genes.results
0,0h,03_GLeaf,Rep_1,Green,Ls21v2.004.genes.results
0,0h,03_GLeaf,Rep_2,Green,Ls21v2.005.genes.results
0,0h,03_GLeaf,Rep_3,Green,Ls21v2.006.genes.results
6,6h,01_RLeaf,Rep_1,Red,Ls21v2.007.genes.results
6,6h,01_RLeaf,Rep_2,Red,Ls21v2.008.genes.results
6,6h,01_RLeaf,Rep_3,Red,Ls21v2.009.genes.results
6,6h,03_GLeaf,Rep_1,Green,Ls21v2.010.genes.results
6,6h,03_GLeaf,Rep_2,Green,Ls21v2.011.genes.results
6,6h,03_GLeaf,Rep_3,Green,Ls21v2.012.genes.results
24,24h,01_RLeaf,Rep_1,Red,Ls21v2.013.genes.results
24,24h,01_RLeaf,Rep_2,Red,Ls21v2.014.genes.results
24,24h,01_RLeaf,Rep_3,Red,Ls21v2.015.genes.results
24,24h,03_GLeaf,Rep_1,Green,Ls21v2.016.genes.results
24,24h,03_GLeaf,Rep_2,Green,Ls21v2.017.genes.results
24,24h,03_GLeaf,Rep_3,Green,Ls21v2.018.genes.results
48,48h,01_RLeaf,Rep_1,Red,Ls21v2.019.genes.results
48,48h,01_RLeaf,Rep_2,Red,Ls21v2.020.genes.results
48,48h,01_RLeaf,Rep_3,Red,Ls21v2.021.genes.results
48,48h,03_GLeaf,Rep_1,Green,Ls21v2.022.genes.results
48,48h,03_GLeaf,Rep_2,Green,Ls21v2.023.genes.results
48,48h,03_GLeaf,Rep_3,Green,Ls21v2.024.genes.results
0,0h,02_FancR,Rep_1,Red,Ls21v2.025.genes.results
0,0h,02_FancR,Rep_2,Red,Ls21v2.026.genes.results
0,0h,02_FancR,Rep_3,Red,Ls21v2.027.genes.results
0,0h,04_FancG,Rep_1,Green,Ls21v2.028.genes.results
0,0h,04_FancG,Rep_2,Green,Ls21v2.029.genes.results
0,0h,04_FancG,Rep_3,Green,Ls21v2.030.genes.results
72,72h,01_RLeaf,Rep_1,Red,Ls21v2.031.genes.results
72,72h,01_RLeaf,Rep_2,Red,Ls21v2.032.genes.results
72,72h,01_RLeaf,Rep_3,Red,Ls21v2.033.genes.results
72,72h,03_GLeaf,Rep_1,Green,Ls21v2.034.genes.results
72,72h,03_GLeaf,Rep_2,Green,Ls21v2.035.genes.results
72,72h,03_GLeaf,Rep_3,Green,Ls21v2.036.genes.results
6,6h,02_FancR,Rep_1,Red,Ls21v2.037.genes.results
6,6h,02_FancR,Rep_2,Red,Ls21v2.038.genes.results
6,6h,02_FancR,Rep_3,Red,Ls21v2.039.genes.results
6,6h,04_FancG,Rep_1,Green,Ls21v2.040.genes.results
6,6h,04_FancG,Rep_2,Green,Ls21v2.041.genes.results
6,6h,04_FancG,Rep_3,Green,Ls21v2.042.genes.results
24,24h,02_FancR,Rep_1,Red,Ls21v2.043.genes.results
24,24h,02_FancR,Rep_2,Red,Ls21v2.044.genes.results
24,24h,02_FancR,Rep_3,Red,Ls21v2.045.genes.results
24,24h,04_FancG,Rep_1,Green,Ls21v2.046.genes.results
24,24h,04_FancG,Rep_2,Green,Ls21v2.047.genes.results
24,24h,04_FancG,Rep_3,Green,Ls21v2.048.genes.results
48,48h,02_FancR,Rep_1,Red,Ls21v2.049.genes.results
48,48h,02_FancR,Rep_2,Red,Ls21v2.050.genes.results
48,48h,02_FancR,Rep_3,Red,Ls21v2.051.genes.results
48,48h,04_FancG,Rep_1,Green,Ls21v2.052.genes.results
48,48h,04_FancG,Rep_2,Green,Ls21v2.053.genes.results
48,48h,04_FancG,Rep_3,Green,Ls21v2.054.genes.results
72,72h,02_FancR,Rep_1,Red,Ls21v2.055.genes.results
72,72h,02_FancR,Rep_2,Red,Ls21v2.056.genes.results
72,72h,02_FancR,Rep_3,Red,Ls21v2.057.genes.results
72,72h,04_FancG,Rep_1,Green,Ls21v2.058.genes.results
72,72h,04_FancG,Rep_2,Green,Ls21v2.059.genes.results
72,72h,04_FancG,Rep_3,Green,Ls21v2.060.genes.results
