Light,Cultivar,Genotype,Color,Sample
Control,01_RLeaf,rll4,Red,Ls21v2.061.genes.results
Control,01_RLeaf,rll4,Red,Ls21v2.062.genes.results
Control,01_RLeaf,rll4,Red,Ls21v2.063.genes.results
UVB,01_RLeaf,rll4,Red,Ls21v2.064.genes.results
UVB,01_RLeaf,rll4,Red,Ls21v2.065.genes.results
UVB,01_RLeaf,rll4,Red,Ls21v2.066.genes.results
Control,02_ROak,rll4,Red,Ls21v2.067.genes.results
Control,02_ROak,rll4,Red,Ls21v2.068.genes.results
Control,02_ROak,rll4,Red,Ls21v2.069.genes.results
UVB,02_ROak,rll4,Red,Ls21v2.070.genes.results
UVB,02_ROak,rll4,Red,Ls21v2.071.genes.results
UVB,02_ROak,rll4,Red,Ls21v2.072.genes.results
Control,03_FancR,RLL4,Red,Ls21v2.073.genes.results
Control,03_FancR,RLL4,Red,Ls21v2.074.genes.results
Control,03_FancR,RLL4,Red,Ls21v2.075.genes.results
UVB,03_FancR,RLL4,Red,Ls21v2.076.genes.results
UVB,03_FancR,RLL4,Red,Ls21v2.077.genes.results
UVB,03_FancR,RLL4,Red,Ls21v2.078.genes.results
Control,04_WineD,rll4,Red,Ls21v2.079.genes.results
Control,04_WineD,rll4,Red,Ls21v2.080.genes.results
Control,04_WineD,rll4,Red,Ls21v2.081.genes.results
UVB,04_WineD,rll4,Red,Ls21v2.082.genes.results
UVB,04_WineD,rll4,Red,Ls21v2.083.genes.results
Control,05_GLeaf,RLL4,Green,Ls21v2.085.genes.results
Control,05_GLeaf,RLL4,Green,Ls21v2.086.genes.results
Control,05_GLeaf,RLL4,Green,Ls21v2.087.genes.results
UVB,05_GLeaf,RLL4,Green,Ls21v2.088.genes.results
UVB,05_GLeaf,RLL4,Green,Ls21v2.089.genes.results
UVB,05_GLeaf,RLL4,Green,Ls21v2.090.genes.results
Control,06_HandR,RLL4,Red,Ls21v2.091.genes.results
Control,06_HandR,RLL4,Red,Ls21v2.092.genes.results
Control,06_HandR,RLL4,Red,Ls21v2.093.genes.results
UVB,06_HandR,RLL4,Red,Ls21v2.094.genes.results
UVB,06_HandR,RLL4,Red,Ls21v2.095.genes.results
UVB,06_HandR,RLL4,Red,Ls21v2.096.genes.results
Control,07_FrIce,RLL4,Green,Ls21v2.097.genes.results
Control,07_FrIce,RLL4,Green,Ls21v2.098.genes.results
Control,07_FrIce,RLL4,Green,Ls21v2.099.genes.results
UVB,07_FrIce,RLL4,Green,Ls21v2.100.genes.results
UVB,07_FrIce,RLL4,Green,Ls21v2.101.genes.results
UVB,07_FrIce,RLL4,Green,Ls21v2.102.genes.results
Control,08_GButt,RLL4,Green,Ls21v2.103.genes.results
Control,08_GButt,RLL4,Green,Ls21v2.104.genes.results
Control,08_GButt,RLL4,Green,Ls21v2.105.genes.results
UVB,08_GButt,RLL4,Green,Ls21v2.106.genes.results
UVB,08_GButt,RLL4,Green,Ls21v2.107.genes.results
UVB,08_GButt,RLL4,Green,Ls21v2.108.genes.results
