Time,Treat,Cultivar,Rep,Color,Sample,Cy3G,Cy3_3MG,Cy3_6MG,Chlrogenic acid,Q3_6MbGG,Q3_6MGG,Q3G,Q3_6MG,Chicoric acid
0,0h,01_RLeaf,Rep_1,Red,Ls21v2.001.genes.results,0,0,0.570745011,12.22134254,0.076146004,0.062013001,0,4.984251169,20.07473734
0,0h,01_RLeaf,Rep_2,Red,Ls21v2.002.genes.results,0.056912368,0,2.190815207,21.55309123,0.091259987,0.307751979,0.684766476,8.889702915,26.58210707
0,0h,01_RLeaf,Rep_3,Red,Ls21v2.003.genes.results,0,0,0.841204663,16.22412171,0.065479719,0.227572614,0.471781388,7.351680964,18.65776733
0,0h,03_GLeaf,Rep_1,Green,Ls21v2.004.genes.results,0,0,0,11.36797948,0.088180666,0.275399704,0.596400317,0.690212019,14.52032192
0,0h,03_GLeaf,Rep_2,Green,Ls21v2.005.genes.results,0,0,0,5.505345626,0.049637347,0.173962984,0.47510525,0.421138557,10.15169454
0,0h,03_GLeaf,Rep_3,Green,Ls21v2.006.genes.results,0,0,0,7.560365383,0.04804221,0.184215195,0.45974265,0.47093523,10.35069449
6,6h,01_RLeaf,Rep_1,Red,Ls21v2.007.genes.results,0,0,0.94723568,29.2266716,0.519397131,0.211390887,1.622944666,8.630788338,29.78647954
6,6h,01_RLeaf,Rep_2,Red,Ls21v2.008.genes.results,0,0,0.204850191,21.34336095,0.396676751,0.204963865,0.519368532,8.718362303,12.7276299
6,6h,01_RLeaf,Rep_3,Red,Ls21v2.009.genes.results,0.080024014,0,2.937685513,35.03665173,0.622666638,0.364838033,3.058995382,10.67678967,45.91581701
6,6h,03_GLeaf,Rep_1,Green,Ls21v2.010.genes.results,0,0,0,10.18080002,0.243999308,0.201373002,0.759338531,0.644620384,9.456021713
6,6h,03_GLeaf,Rep_2,Green,Ls21v2.011.genes.results,0,0,0,9.447400588,0.275378494,0.212101213,1.491978278,0.448969684,12.35989455
6,6h,03_GLeaf,Rep_3,Green,Ls21v2.012.genes.results,0,0,0,9.068103666,0.243253083,0.257436234,1.160936598,0.491037728,10.97428688
24,24h,01_RLeaf,Rep_1,Red,Ls21v2.013.genes.results,0.422484698,0.511404307,13.78398567,64.46084692,0.908142905,1.184707214,4.560314307,48.22844604,77.44559379
24,24h,01_RLeaf,Rep_2,Red,Ls21v2.014.genes.results,0.300466167,0.35956143,9.763586351,56.00115519,0.812559741,1.065782559,4.130477882,34.46678031,62.42701856
24,24h,01_RLeaf,Rep_3,Red,Ls21v2.015.genes.results,0.313251961,0.305559948,8.344872648,54.97279865,0.827987989,1.134938606,3.635092716,39.2283447,62.72072262
24,24h,03_GLeaf,Rep_1,Green,Ls21v2.016.genes.results,0,0,0,24.30156802,0.552276028,0.367181381,1.707889467,1.676418021,19.54902139
24,24h,03_GLeaf,Rep_2,Green,Ls21v2.017.genes.results,0,0,0,20.98194132,0.523475774,0.316188815,2.192869681,1.30608477,21.63924507
24,24h,03_GLeaf,Rep_3,Green,Ls21v2.018.genes.results,0,0,0,18.93913362,0.485434738,0.285089913,1.858564819,1.004905977,17.64992827
48,48h,01_RLeaf,Rep_1,Red,Ls21v2.019.genes.results,1.08431852,0.689195002,26.99506841,52.99206991,0.703055097,2.387324499,5.7379187,102.4955682,100.5520595
48,48h,01_RLeaf,Rep_2,Red,Ls21v2.020.genes.results,0.869912672,0.665483512,23.03307106,44.61946732,0.579093025,1.635582008,4.803154537,73.98158171,84.09825334
48,48h,01_RLeaf,Rep_3,Red,Ls21v2.021.genes.results,0.95445313,0.588510835,22.54252721,47.23504104,0.632472725,2.217429405,5.42049278,92.74043155,91.42156479
48,48h,03_GLeaf,Rep_1,Green,Ls21v2.022.genes.results,0,0,0,21.25921086,0.519688038,0.434365841,1.633157586,2.784066338,19.2633557
48,48h,03_GLeaf,Rep_2,Green,Ls21v2.023.genes.results,0,0,0,36.22005344,0.827629328,0.639918475,2.28863672,4.665504128,30.78248116
48,48h,03_GLeaf,Rep_3,Green,Ls21v2.024.genes.results,0,0,0,23.11977009,0.557300089,0.319727246,1.564882527,1.274763275,18.53750638
0,0h,02_FancR,Rep_1,Red,Ls21v2.025.genes.results,0.018702911,0,0.760571304,17.47614176,0.074811697,0.24402388,0.638896032,3.594762514,20.89588408
0,0h,02_FancR,Rep_2,Red,Ls21v2.026.genes.results,0.014215053,0,0.56259992,16.09418877,0.080339624,0.303386863,0.661435107,2.898220881,21.86533192
0,0h,02_FancR,Rep_3,Red,Ls21v2.027.genes.results,0,0,0.281082881,9.384882587,0.047083204,0.150764241,0.310241045,2.016395029,10.58977408
0,0h,04_FancG,Rep_1,Green,Ls21v2.028.genes.results,0,0,0,4.944845714,0.036265747,0.124838208,0.373602794,0.567584518,11.07535636
0,0h,04_FancG,Rep_2,Green,Ls21v2.029.genes.results,0,0,0,4.149953606,0.036669147,0.120761098,0.354133146,0.535662312,9.994794666
0,0h,04_FancG,Rep_3,Green,Ls21v2.030.genes.results,0,0,0,4.500669428,0.035286645,0.146256765,0.423424202,0.628034335,12.33504539
72,72h,01_RLeaf,Rep_1,Red,Ls21v2.031.genes.results,0.788139,0.682901962,19.30220271,38.46452289,0.476910236,1.562433131,4.496153741,83.32010176,79.64325678
72,72h,01_RLeaf,Rep_2,Red,Ls21v2.032.genes.results,1.572593094,1.155838208,37.3146265,40.06348544,0.461493271,1.350548462,5.714864848,82.36349632,88.96310382
72,72h,01_RLeaf,Rep_3,Red,Ls21v2.033.genes.results,2.152655412,1.560887573,49.29426774,44.309391,0.528910299,2.067710575,7.536284076,113.6905986,118.1239812
72,72h,03_GLeaf,Rep_1,Green,Ls21v2.034.genes.results,0,0,0,25.53950378,0.515804286,0.363719495,1.246899193,4.483921334,22.66029035
72,72h,03_GLeaf,Rep_2,Green,Ls21v2.035.genes.results,0,0,0,32.69663052,0.764784825,0.51269679,4.20551931,3.270055668,42.16083572
72,72h,03_GLeaf,Rep_3,Green,Ls21v2.036.genes.results,0,0,0,32.95531569,0.753464037,0.631400171,3.285698367,4.977844029,37.67813418
6,6h,02_FancR,Rep_1,Red,Ls21v2.037.genes.results,0,0,0.21220544,20.38046647,0.45142639,0.229503966,1.132116034,1.963115132,15.95036805
6,6h,02_FancR,Rep_2,Red,Ls21v2.038.genes.results,0,0,0.253388836,14.09056505,0.313812182,0.152261462,0.994904261,1.523932075,13.63734038
6,6h,02_FancR,Rep_3,Red,Ls21v2.039.genes.results,0.010306334,0,0.379324139,20.94496594,0.442184463,0.210262748,1.404112743,2.362414947,20.08320444
6,6h,04_FancG,Rep_1,Green,Ls21v2.040.genes.results,0,0,0,10.14946495,0.269510612,0.199899821,1.47010428,0.765087543,14.6564906
6,6h,04_FancG,Rep_2,Green,Ls21v2.041.genes.results,0,0,0,8.426206089,0.231251389,0.15076182,1.682704103,0.619706332,14.2625317
6,6h,04_FancG,Rep_3,Green,Ls21v2.042.genes.results,0,0,0,11.7313454,0.370992171,0.20538962,1.550153284,0.656938141,12.21839123
24,24h,02_FancR,Rep_1,Red,Ls21v2.043.genes.results,0.026242054,0,0.590570998,34.62710255,0.62158868,0.232027119,1.118920272,5.555850815,17.97056015
