Light,Cultivar,Genotype,Color,Cy3G,Cy3_3MG,Cy3_6MG,Chlrogenic acid,Q3_6MbGG,Q3_6MGG,Q3G,Q3_6MG,Chicoric acid
WhiteLED,RButt,rll4,Red,0.110002923,0.104143337,5.013325384,15.72465363,0.044151029,0.530193256,0.942821184,16.56896026,49.71292343
WhiteLED,RButt,rll4,Red,0.062357077,0.053841942,2.707728754,17.35634773,0,0.454868184,0.65215226,10.9353739,41.69314786
WhiteLED,RButt,rll4,Red,0.074041694,0.061127118,2.895325177,14.74787273,0.028351642,0.360195439,0.611133389,10.24024684,39.60639176
WhiteLED,RLeaf,rll4,Red,0.101629646,0.086355326,4.256786116,35.42403172,0.04604846,0.355333135,0.778009824,11.86737636,64.31455976
WhiteLED,RLeaf,rll4,Red,0.069869214,0.075654054,2.971054773,25.16922507,0.035063284,0.290464446,0.865938836,7.741176931,64.49516354
WhiteLED,RLeaf,rll4,Red,0.126891505,0.117013719,5.053076341,28.33022616,0.036707817,0.34527606,1.03745913,12.15398004,74.38189436
WhiteLED,ROak,rll4,Red,0.199864177,0.161421483,6.700675833,117.7392085,0.067458337,0.481970867,0.972600052,9.723633539,81.08217354
WhiteLED,ROak,rll4,Red,0.24710081,0.185826559,8.510664839,142.2745815,0.067935233,0.449448443,1.00882573,14.78429515,107.4041747
WhiteLED,ROak,rll4,Red,0.105816285,0.098162276,4.178296852,86.28917155,0.066852388,0.522648079,0.914672161,7.720213712,67.58494365
WhiteLED,RCos,rll4,Red,0.366306595,0.271231296,11.51189586,45.64365744,0.074946307,0.818120778,1.163633676,20.94683454,84.85600127
WhiteLED,RCos,rll4,Red,0.864967701,0.596115403,29.46637045,159.312711,0.107389627,1.757972471,1.824470462,57.39834091,185.7487718
WhiteLED,RCos,rll4,Red,0.695396409,0.504535021,21.64253786,87.5852009,0.058747901,1.360769498,0.965611746,41.36547892,152.9388776
WhiteLED,FancR,RLL4,Red,0.15111243,0.100159929,4.81502743,36.03660836,0.032509186,0.37187156,0.634436087,8.157444206,78.05901275
WhiteLED,FancR,RLL4,Red,0.178244078,0.131113528,6.00278599,41.91258296,0.032791047,0.319241462,0.664965657,8.462732962,77.90434078
