Light,Cultivar,Color,Growth,Leaf_Width,Leaf_Length,RLW,Leaf_Number
WhiteLED,RButt,Red,0.576666667,3.79013,5.52747,1.374169651,5
WhiteLED,RButt,Red,0.926666667,4.02172,5.26653,1.359052327,5
WhiteLED,RButt,Red,1.016666667,4.23387,5.54019,1.305352804,5
WhiteLED,RLeaf,Red,0.286666667,4.41716,5.27111,1.208203075,4
WhiteLED,RLeaf,Red,0.276666667,5.25801,5.08899,1.086935166,3
WhiteLED,RLeaf,Red,0.626666667,4.64209,4.982,1.201811082,4
WhiteLED,ROak,Red,0.8,4.48853,6.55881,1.340099378,6
WhiteLED,ROak,Red,0.34,3.41844,6.83094,1.770499037,5
WhiteLED,ROak,Red,1.25,4.83232,6.33848,1.322921089,6
WhiteLED,RCos,Red,0.623333333,3.14647,5.45882,1.716406772,6
WhiteLED,RCos,Red,0.223333333,2.84132,4.96023,1.774959655,6
WhiteLED,RCos,Red,0.293333333,2.58803,5.21156,1.928992707,5
WhiteLED,FancR,Red,0.75,4.37044,6.87612,1.539632445,4
WhiteLED,FancR,Red,1.04,4.90891,7.14671,1.192628285,4
WhiteLED,FancR,Red,1.03,4.30623,6.82359,1.438416783,5
WhiteLED,HandR,Red,0.333333333,2.6426,4.26113,1.675993557,4
WhiteLED,HandR,Red,0.393333333,3.14268,5.67812,1.911655115,4
WhiteLED,HandR,Red,0.513333333,3.26876,4.97339,1.59983826,5
WhiteLED,RFire,Red,0.163333333,,,,
WhiteLED,RFire,Red,0.213333333,4.58761,5.31475,1.435338834,4
WhiteLED,RFire,Red,0.313333333,4.45207,5.24376,1.24134042,4
WhiteLED,SunB,Red,0.593333333,4.11903,7.60127,1.679523183,4
WhiteLED,SunB,Red,0.713333333,3.82865,6.16714,1.584657571,4
WhiteLED,SunB,Red,1.103333333,,,,
WhiteLED,WineD,Red,1.243333333,5.17811,6.57081,1.304011132,4
WhiteLED,WineD,Red,1.803333333,5.46614,6.73879,1.226130224,5
WhiteLED,WineD,Red,2.203333333,6.51546,6.60261,1.036081066,4
WhiteLED,GOak,Green,0.863333333,4.35619,5.94242,1.399121439,7
WhiteLED,GOak,Green,1.063333333,4.31221,5.09447,1.181119058,7
WhiteLED,GOak,Green,0.763333333,3.75647,5.81139,1.487531561,6
WhiteLED,HandG,Green,0.48,3.15294,5.98928,1.887272184,5
WhiteLED,HandG,Green,0.51,3.15392,5.49618,1.782387443,5
WhiteLED,HandG,Green,0.65,3.45754,5.51985,1.601878503,5
WhiteLED,GLeaf,Green,1.646666667,5.95764,8.00279,1.353341789,5
WhiteLED,GLeaf,Green,0.956666667,5.19895,6.81953,1.43610756,4
WhiteLED,GLeaf,Green,1.406666667,5.68243,6.25209,1.291828794,4
WhiteLED,GButt,Green,0.49,4.14172,5.51898,1.422329752,5
WhiteLED,GButt,Green,0.31,3.55158,5.09731,1.48358347,5
WhiteLED,GButt,Green,1.11,4.70436,6.30251,1.266835985,5
WhiteLED,FrIce,Green,0.686666667,3.86206,6.69091,1.832795352,5
WhiteLED,FrIce,Green,1.216666667,4.49208,5.76359,1.29766609,5
WhiteLED,FrIce,Green,0.376666667,3.66131,5.04307,1.431577049,5
FL,RButt,Red,0.686666667,3.7985,4.43872,1.168190589,5
