Light,Cultivar,Genotype,Color,Cy3G,Cy3_3MG,Cy3_6MG,Chlrogenic acid,Q3_6MbGG,Q3_6MGG,Q3G,Q3_6MG,Chicoric acid
Control,RLeaf,rll4,Red,0,0,1.323907718,21.78362123,0.077840324,0.148503669,0.875501734,3.777966925,42.65977545
Control,RLeaf,rll4,Red,0,0,1.250553641,19.84584168,0.076966872,0.128226622,0.902097481,3.55831825,41.45322597
Control,RLeaf,rll4,Red,0,0,0.98698819,18.45791178,0.054158287,0.105492839,0.792639091,4.331809081,40.62248368
UV-B,RLeaf,rll4,Red,0.219184546,0.127566013,16.44150934,46.52590252,1.141038617,1.500952264,6.022113339,45.43425202,71.6226617
UV-B,RLeaf,rll4,Red,0.259586216,0.185106367,20.61633097,50.81774273,1.076696771,1.211432366,7.362623861,49.53798166,78.10438468
UV-B,RLeaf,rll4,Red,0.213422408,0.132452957,15.88427112,41.80612926,1.03918386,1.183011884,6.452371299,39.23776286,64.05241655
Control,ROak,rll4,Red,0,0,0.596855292,29.5450861,0.11618979,0.113221775,0.500265186,2.11841823,22.92962137
Control,ROak,rll4,Red,0,0,1.484464466,39.54931154,0.130222517,0.092967612,0.936559423,2.630499771,34.4193989
Control,ROak,rll4,Red,0,0,0.305451558,21.03635616,0.057513134,0.064163941,0.660466715,1.255155083,25.85121044
UV-B,ROak,rll4,Red,0.173142475,0.072834522,8.132365001,53.18678189,1.472030296,0.612804264,3.589098787,17.30092013,30.25681408
UV-B,ROak,rll4,Red,0.06503201,0.039973903,4.982036269,41.14900397,1.119337642,0.599893639,4.246941368,13.85584786,33.23600704
UV-B,ROak,rll4,Red,0.237253366,0.095786578,10.65782097,62.62667126,1.46920061,0.858492845,4.70358988,26.31153962,41.86214495
Control,FancR,RLL4,Red,0,0,0.529004307,23.00095435,0.066679874,0.110318239,0.913862083,1.6206008,38.44759735
Control,FancR,RLL4,Red,0,0,1.320252268,25.13893104,0.07979004,0.162957132,0.91159825,3.413180803,42.31454846
Control,FancR,RLL4,Red,0.014465496,0,1.432390284,40.50324926,0.116606964,0.266084757,0.737151382,2.886600732,46.01807592
UV-B,FancR,RLL4,Red,0.037449124,0.037857087,2.862949212,31.71676001,1.054390845,0.497576159,4.445623045,8.079344187,38.1548416
UV-B,FancR,RLL4,Red,0.034672076,0.029180847,2.313650229,33.29700486,1.227021636,0.378199173,4.792098447,5.444910066,38.44115878
UV-B,FancR,RLL4,Red,0.038573709,0.046526727,3.336423828,28.23054803,1.011958558,0.288707672,5.38083541,6.306425033,43.66096011
Control,WineD,rll4,Red,0.058084254,0.071401721,3.499166396,19.24988562,0.068081491,0.270906777,0.649581182,9.742542878,37.53604984
Control,WineD,rll4,Red,0.084464623,0.10379213,4.787402607,22.95546302,0.053071206,0.344507156,0.699479445,14.02502571,39.05227809
Control,WineD,rll4,Red,0.066071762,0.114170555,6.052368353,20.73055325,0.080916095,0.324651832,0.714300586,13.38749714,43.45333817
UV-B,WineD,rll4,Red,0.368043106,0.228713838,21.21259044,46.60320178,0.852196879,1.413072927,6.017417186,52.17499162,63.99283853
UV-B,WineD,rll4,Red,0.297365148,0.12851994,13.63858018,42.21123363,0.642016844,0.848989071,6.028987865,37.32765778,59.48202652
UV-B,WineD,rll4,Red,0.352754712,0.183907452,17.36595776,39.74047739,0.589992354,1.395421761,5.510881437,46.52970426,58.72212361
Control,GLeaf,RLL4,Green,0,0,0,20.90096355,0.281042024,0.077848358,1.324591828,1.022103713,27.39434219
Control,GLeaf,RLL4,Green,0,0,0,19.18992176,0.123842019,0.066579506,1.500255624,1.065523646,31.63835689
Control,GLeaf,RLL4,Green,0,0,0,16.49853609,0.130552069,0.110204474,1.159605573,1.126009393,24.98279181
UV-B,GLeaf,RLL4,Green,0,0,0,30.50421539,1.034254394,0.22676779,3.98088603,2.686952469,34.83565327
UV-B,GLeaf,RLL4,Green,0,0,0,22.02381018,0.800000609,0.187049597,3.723983364,2.17605532,30.88143449
UV-B,GLeaf,RLL4,Green,0,0,0,34.62932386,1.123550441,0.254124433,4.465160755,2.921081168,40.17984126
Control,HandR,RLL4,Red,0.038077309,0.075007155,3.548753932,20.95274778,0.171689298,0.093979167,1.629497565,3.225198009,29.49009228
Control,HandR,RLL4,Red,0.037183462,0.088158001,3.377078531,20.62183038,0.228001802,0.15647021,1.743309449,3.485110376,24.69593281
Control,HandR,RLL4,Red,0.186715454,0.225568946,8.659171808,29.83465034,0.201742289,0.250439628,1.960249931,7.769835672,44.64716438
UV-B,HandR,RLL4,Red,0.177538424,0.189783625,8.57400255,28.94409947,0.426578347,0.176282364,4.617302412,9.498493485,36.7023183
UV-B,HandR,RLL4,Red,0.05854746,0.069761251,3.673408617,23.15404891,0.850234954,0.280364973,3.427213699,5.292598717,24.12847413
UV-B,HandR,RLL4,Red,0.095490645,0.081366705,4.03837696,19.72807,0.637027517,0.276107711,4.050707878,5.948424025,30.31466265
Control,FrIce,RLL4,Green,0,0,0,10.24550394,0.121337917,0.126489691,1.137961453,0.417754468,21.8502074
Control,FrIce,RLL4,Green,0,0,0,20.0909043,0.138113405,0.160446437,1.266608447,0.655021728,26.95016452
Control,FrIce,RLL4,Green,0,0,0,11.15174939,0.106754441,0.113654622,0.822391516,0.456093429,17.08601082
