"clust","GeneID","GO"
"Cluster_02","Lsat_1_v5_gn_0_12040","GO:0005515"
"Cluster_02","Lsat_1_v5_gn_0_14341","GO:0005515"
"Cluster_02","Lsat_1_v5_gn_0_14680","GO:0008152"
"Cluster_02","Lsat_1_v5_gn_0_14680","GO:0016491"
"Cluster_02","Lsat_1_v5_gn_0_15220","GO:0005525"
"Cluster_02","Lsat_1_v5_gn_0_17741","GO:0004553"
"Cluster_02","Lsat_1_v5_gn_0_17741","GO:0005975"
"Cluster_02","Lsat_1_v5_gn_0_21761","GO:0005515"
"Cluster_02","Lsat_1_v5_gn_0_23901","GO:0008270"
"Cluster_02","Lsat_1_v5_gn_0_26880","GO:0008152"
"Cluster_02","Lsat_1_v5_gn_0_26880","GO:0016491"
"Cluster_02","Lsat_1_v5_gn_0_29221","GO:0008152"
"Cluster_02","Lsat_1_v5_gn_0_29221","GO:0016491"
"Cluster_02","Lsat_1_v5_gn_0_36880","GO:0008168"
"Cluster_02","Lsat_1_v5_gn_0_40560","GO:0016020"
"Cluster_02","Lsat_1_v5_gn_0_40560","GO:0016021"
"Cluster_02","Lsat_1_v5_gn_0_40560","GO:0022857"
"Cluster_02","Lsat_1_v5_gn_0_40560","GO:0022891"
"Cluster_02","Lsat_1_v5_gn_0_40560","GO:0055085"
"Cluster_02","Lsat_1_v5_gn_0_42660","GO:0000166"
"Cluster_02","Lsat_1_v5_gn_0_42660","GO:0005524"
"Cluster_02","Lsat_1_v5_gn_0_42660","GO:0006810"
"Cluster_02","Lsat_1_v5_gn_0_42660","GO:0016021"
"Cluster_02","Lsat_1_v5_gn_0_42660","GO:0016887"
"Cluster_02","Lsat_1_v5_gn_0_42660","GO:0017111"
"Cluster_02","Lsat_1_v5_gn_0_42660","GO:0042626"
"Cluster_02","Lsat_1_v5_gn_0_42660","GO:0055085"
"Cluster_02","Lsat_1_v5_gn_0_44640","GO:0005643"
"Cluster_02","Lsat_1_v5_gn_0_44640","GO:0006886"
"Cluster_02","Lsat_1_v5_gn_0_44640","GO:0006913"
"Cluster_02","Lsat_1_v5_gn_0_44640","GO:0008565"
"Cluster_02","Lsat_1_v5_gn_0_45100","GO:0005515"
"Cluster_02","Lsat_1_v5_gn_0_4801","GO:0004672"
"Cluster_02","Lsat_1_v5_gn_0_4801","GO:0005524"
"Cluster_02","Lsat_1_v5_gn_0_4801","GO:0006468"
"Cluster_02","Lsat_1_v5_gn_0_6661","GO:0005507"
"Cluster_02","Lsat_1_v5_gn_0_6661","GO:0009055"
"Cluster_02","Lsat_1_v5_gn_0_6940","GO:0016757"
"Cluster_02","Lsat_1_v5_gn_0_740","GO:0004672"
"Cluster_02","Lsat_1_v5_gn_0_740","GO:0005524"
"Cluster_02","Lsat_1_v5_gn_0_740","GO:0006468"
"Cluster_02","Lsat_1_v5_gn_0_740","GO:0008152"
"Cluster_02","Lsat_1_v5_gn_0_740","GO:0016597"
"Cluster_02","Lsat_1_v5_gn_0_7801","GO:0008654"
"Cluster_02","Lsat_1_v5_gn_0_7801","GO:0016020"
"Cluster_02","Lsat_1_v5_gn_0_7801","GO:0016780"
"Cluster_02","Lsat_1_v5_gn_0_8241","GO:0003682"
"Cluster_02","Lsat_1_v5_gn_0_9540","GO:0015743"
"Cluster_02","Lsat_1_v5_gn_1_104541","GO:0004185"
"Cluster_02","Lsat_1_v5_gn_1_104541","GO:0006508"
"Cluster_02","Lsat_1_v5_gn_1_105621","GO:0006694"
"Cluster_02","Lsat_1_v5_gn_1_105621","GO:0008152"
"Cluster_02","Lsat_1_v5_gn_1_105621","GO:0008168"
"Cluster_02","Lsat_1_v5_gn_1_106760","GO:0006855"
"Cluster_02","Lsat_1_v5_gn_1_106760","GO:0015238"
"Cluster_02","Lsat_1_v5_gn_1_106760","GO:0015297"
"Cluster_02","Lsat_1_v5_gn_1_106760","GO:0016020"
"Cluster_02","Lsat_1_v5_gn_1_106760","GO:0055085"
"Cluster_02","Lsat_1_v5_gn_1_107400","GO:0015986"
"Cluster_02","Lsat_1_v5_gn_1_107400","GO:0046933"
"Cluster_02","Lsat_1_v5_gn_1_109280","GO:0006353"
"Cluster_02","Lsat_1_v5_gn_1_109401","GO:0004672"
"Cluster_02","Lsat_1_v5_gn_1_109401","GO:0005524"
"Cluster_02","Lsat_1_v5_gn_1_109401","GO:0006468"
"Cluster_02","Lsat_1_v5_gn_1_115140","GO:0009055"
"Cluster_02","Lsat_1_v5_gn_1_115140","GO:0015035"
"Cluster_02","Lsat_1_v5_gn_1_115140","GO:0045454"
"Cluster_02","Lsat_1_v5_gn_1_118400","GO:0004185"
"Cluster_02","Lsat_1_v5_gn_1_118400","GO:0006508"
"Cluster_02","Lsat_1_v5_gn_1_118520","GO:0005506"
"Cluster_02","Lsat_1_v5_gn_1_118520","GO:0016491"
"Cluster_02","Lsat_1_v5_gn_1_118520","GO:0016706"
"Cluster_02","Lsat_1_v5_gn_1_118520","GO:0055114"
"Cluster_02","Lsat_1_v5_gn_1_120281","GO:0006952"
"Cluster_02","Lsat_1_v5_gn_1_120281","GO:0009607"
"Cluster_02","Lsat_1_v5_gn_1_125481","GO:0004672"
"Cluster_02","Lsat_1_v5_gn_1_125481","GO:0006468"
"Cluster_02","Lsat_1_v5_gn_1_130400","GO:0016757"
"Cluster_02","Lsat_1_v5_gn_1_13620","GO:0016616"
"Cluster_02","Lsat_1_v5_gn_1_13620","GO:0051287"
"Cluster_02","Lsat_1_v5_gn_1_13620","GO:0055114"
"Cluster_02","Lsat_1_v5_gn_1_13741","GO:0016020"
"Cluster_02","Lsat_1_v5_gn_1_13741","GO:0016798"
"Cluster_02","Lsat_1_v5_gn_1_14841","GO:0016773"
"Cluster_02","Lsat_1_v5_gn_1_15221","GO:0008146"
"Cluster_02","Lsat_1_v5_gn_1_1541","GO:0005634"
"Cluster_02","Lsat_1_v5_gn_1_1681","GO:0019904"
"Cluster_02","Lsat_1_v5_gn_1_17141","GO:0003677"
"Cluster_02","Lsat_1_v5_gn_1_17141","GO:0003700"
"Cluster_02","Lsat_1_v5_gn_1_17141","GO:0006355"
