"clust","GeneID","GO"
"Cluster_05","Lsat_1_v5_gn_0_10121","GO:0005634"
"Cluster_05","Lsat_1_v5_gn_0_10920","GO:0000287"
"Cluster_05","Lsat_1_v5_gn_0_10920","GO:0004743"
"Cluster_05","Lsat_1_v5_gn_0_10920","GO:0006096"
"Cluster_05","Lsat_1_v5_gn_0_10920","GO:0030955"
"Cluster_05","Lsat_1_v5_gn_0_10961","GO:0003735"
"Cluster_05","Lsat_1_v5_gn_0_10961","GO:0005622"
"Cluster_05","Lsat_1_v5_gn_0_10961","GO:0005840"
"Cluster_05","Lsat_1_v5_gn_0_10961","GO:0006412"
"Cluster_05","Lsat_1_v5_gn_0_10961","GO:0008152"
"Cluster_05","Lsat_1_v5_gn_0_10961","GO:0016746"
"Cluster_05","Lsat_1_v5_gn_0_1340","GO:0005515"
"Cluster_05","Lsat_1_v5_gn_0_1340","GO:0008270"
"Cluster_05","Lsat_1_v5_gn_0_15420","GO:0003735"
"Cluster_05","Lsat_1_v5_gn_0_15420","GO:0005622"
"Cluster_05","Lsat_1_v5_gn_0_15420","GO:0005840"
"Cluster_05","Lsat_1_v5_gn_0_15420","GO:0006412"
"Cluster_05","Lsat_1_v5_gn_0_17841","GO:0016491"
"Cluster_05","Lsat_1_v5_gn_0_17841","GO:0016706"
"Cluster_05","Lsat_1_v5_gn_0_17841","GO:0055114"
"Cluster_05","Lsat_1_v5_gn_0_20741","GO:0004601"
"Cluster_05","Lsat_1_v5_gn_0_20741","GO:0006979"
"Cluster_05","Lsat_1_v5_gn_0_20741","GO:0020037"
"Cluster_05","Lsat_1_v5_gn_0_20741","GO:0055114"
"Cluster_05","Lsat_1_v5_gn_0_24701","GO:0000786"
"Cluster_05","Lsat_1_v5_gn_0_24701","GO:0003677"
"Cluster_05","Lsat_1_v5_gn_0_24701","GO:0005634"
"Cluster_05","Lsat_1_v5_gn_0_24701","GO:0006334"
"Cluster_05","Lsat_1_v5_gn_0_2580","GO:0015002"
"Cluster_05","Lsat_1_v5_gn_0_2580","GO:0016020"
"Cluster_05","Lsat_1_v5_gn_0_2580","GO:0019646"
"Cluster_05","Lsat_1_v5_gn_0_28780","GO:0005524"
"Cluster_05","Lsat_1_v5_gn_0_28780","GO:0015991"
"Cluster_05","Lsat_1_v5_gn_0_28780","GO:0015992"
"Cluster_05","Lsat_1_v5_gn_0_28780","GO:0016820"
"Cluster_05","Lsat_1_v5_gn_0_28780","GO:0033178"
"Cluster_05","Lsat_1_v5_gn_0_28780","GO:0046034"
"Cluster_05","Lsat_1_v5_gn_0_29401","GO:0005515"
"Cluster_05","Lsat_1_v5_gn_0_35060","GO:0000276"
"Cluster_05","Lsat_1_v5_gn_0_35060","GO:0015078"
"Cluster_05","Lsat_1_v5_gn_0_35060","GO:0015986"
"Cluster_05","Lsat_1_v5_gn_0_36880","GO:0008168"
"Cluster_05","Lsat_1_v5_gn_0_37780","GO:0003735"
"Cluster_05","Lsat_1_v5_gn_0_37780","GO:0005622"
"Cluster_05","Lsat_1_v5_gn_0_37780","GO:0005840"
"Cluster_05","Lsat_1_v5_gn_0_37780","GO:0006412"
"Cluster_05","Lsat_1_v5_gn_0_38040","GO:0003735"
"Cluster_05","Lsat_1_v5_gn_0_38040","GO:0005622"
"Cluster_05","Lsat_1_v5_gn_0_38040","GO:0005840"
"Cluster_05","Lsat_1_v5_gn_0_38040","GO:0006412"
"Cluster_05","Lsat_1_v5_gn_0_38040","GO:0019843"
"Cluster_05","Lsat_1_v5_gn_0_44400","GO:0009055"
"Cluster_05","Lsat_1_v5_gn_0_44400","GO:0016020"
"Cluster_05","Lsat_1_v5_gn_0_44400","GO:0016491"
"Cluster_05","Lsat_1_v5_gn_0_44400","GO:0022904"
"Cluster_05","Lsat_1_v5_gn_0_46600","GO:0003735"
"Cluster_05","Lsat_1_v5_gn_0_46600","GO:0005622"
"Cluster_05","Lsat_1_v5_gn_0_46600","GO:0005840"
"Cluster_05","Lsat_1_v5_gn_0_46600","GO:0006412"
"Cluster_05","Lsat_1_v5_gn_0_46600","GO:0015935"
"Cluster_05","Lsat_1_v5_gn_0_4721","GO:0004417"
"Cluster_05","Lsat_1_v5_gn_0_4721","GO:0009228"
"Cluster_05","Lsat_1_v5_gn_0_8241","GO:0003682"
"Cluster_05","Lsat_1_v5_gn_0_9241","GO:0005515"
"Cluster_05","Lsat_1_v5_gn_1_10560","GO:0000244"
"Cluster_05","Lsat_1_v5_gn_1_10560","GO:0000398"
"Cluster_05","Lsat_1_v5_gn_1_10560","GO:0046540"
"Cluster_05","Lsat_1_v5_gn_1_107461","GO:0005215"
"Cluster_05","Lsat_1_v5_gn_1_107461","GO:0005743"
"Cluster_05","Lsat_1_v5_gn_1_107461","GO:0006810"
"Cluster_05","Lsat_1_v5_gn_1_107461","GO:0055085"
"Cluster_05","Lsat_1_v5_gn_1_10820","GO:0016020"
"Cluster_05","Lsat_1_v5_gn_1_110661","GO:0009522"
"Cluster_05","Lsat_1_v5_gn_1_110661","GO:0009579"
"Cluster_05","Lsat_1_v5_gn_1_110661","GO:0015979"
"Cluster_05","Lsat_1_v5_gn_1_110661","GO:0016021"
"Cluster_05","Lsat_1_v5_gn_1_118280","GO:0004185"
"Cluster_05","Lsat_1_v5_gn_1_118280","GO:0006508"
"Cluster_05","Lsat_1_v5_gn_1_118620","GO:0003677"
"Cluster_05","Lsat_1_v5_gn_1_118620","GO:0003899"
"Cluster_05","Lsat_1_v5_gn_1_118620","GO:0006351"
"Cluster_05","Lsat_1_v5_gn_1_118620","GO:0032549"
"Cluster_05","Lsat_1_v5_gn_1_119141","GO:0004185"
"Cluster_05","Lsat_1_v5_gn_1_119141","GO:0006508"
"Cluster_05","Lsat_1_v5_gn_1_12380","GO:0003735"
"Cluster_05","Lsat_1_v5_gn_1_12380","GO:0005622"
"Cluster_05","Lsat_1_v5_gn_1_12380","GO:0005840"
"Cluster_05","Lsat_1_v5_gn_1_12380","GO:0006412"
"Cluster_05","Lsat_1_v5_gn_1_12380","GO:0015935"
"Cluster_05","Lsat_1_v5_gn_1_13001","GO:0003676"
"Cluster_05","Lsat_1_v5_gn_1_13001","GO:0004386"
"Cluster_05","Lsat_1_v5_gn_1_13001","GO:0005524"
"Cluster_05","Lsat_1_v5_gn_1_13001","GO:0008026"
"Cluster_05","Lsat_1_v5_gn_1_13261","GO:0005634"
"Cluster_05","Lsat_1_v5_gn_1_13261","GO:0006334"
"Cluster_05","Lsat_1_v5_gn_1_13281","GO:0005634"
"Cluster_05","Lsat_1_v5_gn_1_13281","GO:0006355"
"Cluster_05","Lsat_1_v5_gn_1_13281","GO:0008270"
