GO.ID,Term,Annotated,Significant,Expected,Pvalue,Adj.Pvalue
GO:0015979,photosynthesis,197,56,9.57,4.20E-28,1.41E-24
GO:0009658,chloroplast organization,184,50,8.94,3.20E-24,5.36E-21
GO:0006091,generation of precursor metabolites and energy,365,69,17.74,6.00E-23,6.70E-20
GO:0019684,"photosynthesis, light reaction",138,41,6.71,1.10E-21,9.22E-19
GO:0044281,small molecule metabolic process,1776,160,86.31,1.50E-15,1.01E-12
GO:0005982,starch metabolic process,79,24,3.84,1.90E-13,1.06E-10
GO:0055114,oxidation-reduction process,1348,123,65.51,2.60E-12,1.25E-09
GO:0009765,"photosynthesis, light harvesting",42,16,2.04,4.20E-11,1.76E-08
GO:1901566,organonitrogen compound biosynthetic pro...,1394,121,67.75,1.10E-10,4.10E-08
GO:0010027,thylakoid membrane organization,45,16,2.19,1.40E-10,4.69E-08
GO:0019752,carboxylic acid metabolic process,1128,103,54.82,2.10E-10,6.40E-08
GO:0010109,regulation of photosynthesis,63,18,3.06,6.10E-10,1.70E-07
GO:0006520,cellular amino acid metabolic process,365,47,17.74,9.00E-10,2.32E-07
GO:0009668,plastid membrane organization,51,16,2.48,1.20E-09,2.61E-07
GO:0016108,tetraterpenoid metabolic process,27,12,1.31,1.40E-09,2.61E-07
GO:0016116,carotenoid metabolic process,27,12,1.31,1.40E-09,2.61E-07
GO:0098869,cellular oxidant detoxification,175,30,8.5,1.40E-09,2.61E-07
GO:0000373,Group II intron splicing,22,11,1.07,1.40E-09,2.61E-07
GO:1990748,cellular detoxification,176,30,8.55,1.60E-09,2.82E-07
GO:0017144,drug metabolic process,467,53,22.7,7.10E-09,1.13E-06
GO:0006082,organic acid metabolic process,1251,106,60.8,7.40E-09,1.13E-06
GO:0043436,oxoacid metabolic process,1251,106,60.8,7.40E-09,1.13E-06
GO:0006778,porphyrin-containing compound metabolic ...,128,24,6.22,1.00E-08,1.40E-06
GO:0033013,tetrapyrrole metabolic process,128,24,6.22,1.00E-08,1.40E-06
GO:0097237,cellular response to toxic substance,201,31,9.77,1.10E-08,1.42E-06
GO:0009735,response to cytokinin,306,40,14.87,1.10E-08,1.42E-06
GO:0005983,starch catabolic process,32,12,1.56,1.50E-08,1.73E-06
GO:0016109,tetraterpenoid biosynthetic process,21,10,1.02,1.50E-08,1.73E-06
GO:0016117,carotenoid biosynthetic process,21,10,1.02,1.50E-08,1.73E-06
GO:0045454,cell redox homeostasis,60,16,2.92,1.70E-08,1.90E-06
GO:0044283,small molecule biosynthetic process,838,78,40.73,1.90E-08,2.05E-06
GO:0006073,cellular glucan metabolic process,181,28,8.8,5.10E-08,5.34E-06
GO:0009072,aromatic amino acid family metabolic pro...,73,17,3.55,5.30E-08,5.38E-06
GO:0098754,detoxification,228,32,11.08,6.10E-08,6.01E-06
GO:1901605,alpha-amino acid metabolic process,255,34,12.39,8.50E-08,8.14E-06
GO:0044042,glucan metabolic process,186,28,9.04,9.20E-08,8.57E-06
GO:0034599,cellular response to oxidative stress,178,27,8.65,1.30E-07,1.18E-05
GO:0009768,"photosynthesis, light harvesting in phot...",26,10,1.26,1.80E-07,1.59E-05
GO:0009767,photosynthetic electron transport chain,63,15,3.06,2.40E-07,2.06E-05
GO:0005975,carbohydrate metabolic process,599,58,29.11,3.90E-07,3.12E-05
GO:0009073,aromatic amino acid family biosynthetic ...,49,13,2.38,3.90E-07,3.12E-05
GO:0022900,electron transport chain,112,20,5.44,4.00E-07,3.12E-05
