"GO.ID","Term","Annotated","Significant","Expected","Pvalue","Adj.Pvalue"
"GO:0009657","plastid organization",262,79,15.43,"< 1e-30",NA
"GO:0009658","chloroplast organization",184,57,10.84,"2.0e-26",6.704e-23
"GO:0055114","oxidation-reduction process",1348,163,79.39,"6.4e-20",1.07264e-16
"GO:0044281","small molecule metabolic process",1776,193,104.6,"2.1e-18",2.3464e-15
"GO:0015979","photosynthesis",197,46,11.6,"3.5e-16",2.933e-13
"GO:0006091","generation of precursor metabolites and ...",365,62,21.5,"2.7e-14",1.81008e-11
"GO:0010027","thylakoid membrane organization",45,19,2.65,"2.0e-12",1.11733333333333e-09
"GO:0009668","plastid membrane organization",51,20,3,"2.8e-12",1.3408e-09
"GO:0006520","cellular amino acid metabolic process",365,58,21.5,"3.4e-12",1.4246e-09
"GO:1990748","cellular detoxification",176,35,10.37,"1.6e-10",5.95911111111111e-08
"GO:0019684","photosynthesis, light reaction",138,30,8.13,"3.4e-10",1.13968e-07
"GO:0005982","starch metabolic process",79,22,4.65,"5.3e-10",1.53633333333333e-07
"GO:0098869","cellular oxidant detoxification",175,34,10.31,"5.5e-10",1.53633333333333e-07
"GO:0000373","Group II intron splicing",22,12,1.3,"6.0e-10",1.54707692307692e-07
"GO:0019752","carboxylic acid metabolic process",1128,117,66.43,"6.7e-10",1.60417142857143e-07
"GO:0016108","tetraterpenoid metabolic process",27,13,1.59,"8.7e-10",1.82265e-07
"GO:0016116","carotenoid metabolic process",27,13,1.59,"8.7e-10",1.82265e-07
"GO:1901605","alpha-amino acid metabolic process",255,42,15.02,"1.2e-09",2.36611764705882e-07
"GO:0006082","organic acid metabolic process",1251,125,73.68,"1.7e-09",2.99915789473684e-07
"GO:0043436","oxoacid metabolic process",1251,125,73.68,"1.7e-09",2.99915789473684e-07
"GO:0097237","cellular response to toxic substance",201,36,11.84,"1.8e-09",3.0168e-07
"GO:0009072","aromatic amino acid family metabolic pro...",73,20,4.3,"4.4e-09",7.0232380952381e-07
"GO:0098754","detoxification",228,38,13.43,"5.1e-09",7.77054545454546e-07
"GO:0016109","tetraterpenoid biosynthetic process",21,11,1.24,"5.7e-09",7.961e-07
"GO:0016117","carotenoid biosynthetic process",21,11,1.24,"5.7e-09",7.961e-07
"GO:0017144","drug metabolic process",467,60,27.5,"8.5e-09",1.13968e-06
"GO:1901566","organonitrogen compound biosynthetic pro...",1394,133,82.1,"9.0e-09",1.16030769230769e-06
"GO:0045454","cell redox homeostasis",60,17,3.53,"3.7e-08",4.59348148148148e-06
"GO:0010109","regulation of photosynthesis",63,17,3.71,"8.2e-08",9.81657142857143e-06
"GO:0072593","reactive oxygen species metabolic proces...",173,30,10.19,"8.5e-08",9.8248275862069e-06
"GO:0022900","electron transport chain",112,23,6.6,"1.2e-07",1.3408e-05
"GO:0010020","chloroplast fission",17,9,1,"1.3e-07",1.36175e-05
"GO:0043572","plastid fission",17,9,1,"1.3e-07",1.36175e-05
"GO:0043094","cellular metabolic compound salvage",98,21,5.77,"2.0e-07",2.03151515151515e-05
"GO:0006753","nucleoside phosphate metabolic process",334,44,19.67,"4.3e-07",4.23929411764706e-05
"GO:0044283","small molecule biosynthetic process",838,85,49.36,"4.8e-07",4.59702857142857e-05
"GO:0042181","ketone biosynthetic process",31,11,1.83,"7.9e-07",7.35577777777778e-05
"GO:0009117","nucleotide metabolic process",331,43,19.49,"8.4e-07",7.60994594594595e-05
