"GO.ID","Term","Annotated","Significant","Expected","Pvalue","Adj.Pvalue"
"GO:0009658","chloroplast organization",184,57,10.84,"2.6e-20",8.7386e-17
"GO:0055114","oxidation-reduction process",1348,163,79.39,"1.3e-13",2.18465e-10
"GO:0010027","thylakoid membrane organization",45,19,2.65,"2.0e-12",2.24066666666667e-09
"GO:0000373","Group II intron splicing",22,12,1.3,"6.0e-10",5.0415e-07
"GO:0016117","carotenoid biosynthetic process",21,11,1.24,"5.7e-09",3.83154e-06
"GO:0098869","cellular oxidant detoxification",175,34,10.31,"2.3e-08",1.28838333333333e-05
"GO:0045454","cell redox homeostasis",60,17,3.53,"3.7e-08",1.77652857142857e-05
"GO:0010109","regulation of photosynthesis",63,17,3.71,"8.2e-08",3.445025e-05
"GO:0010020","chloroplast fission",17,9,1,"1.3e-07",4.85477777777778e-05
"GO:0032544","plastid translation",12,7,0.71,"1.5e-06",0.000458318181818182
"GO:0048564","photosystem I assembly",12,7,0.71,"1.5e-06",0.000458318181818182
"GO:1901663","quinone biosynthetic process",24,9,1.41,"4.8e-06",0.0013444
"GO:0005983","starch catabolic process",32,10,1.88,"9.4e-06",0.00240071428571429
"GO:0010206","photosystem II repair",15,7,0.88,"1.0e-05",0.00240071428571429
"GO:0009767","photosynthetic electron transport chain",63,14,3.71,"1.4e-05",0.00313693333333333
"GO:1901606","alpha-amino acid catabolic process",74,15,4.36,"2.2e-05",0.004621375
"GO:0000105","histidine biosynthetic process",13,6,0.77,"4.9e-05",0.00914938888888889
"GO:0016122","xanthophyll metabolic process",13,6,0.77,"4.9e-05",0.00914938888888889
"GO:0019252","starch biosynthetic process",34,9,2,"0.00011",0.0194584210526316
"GO:0042744","hydrogen peroxide catabolic process",42,10,2.47,"0.00012",0.0198604545454545
"GO:0009735","response to cytokinin",306,35,18.02,"0.00013",0.0198604545454545
"GO:0006094","gluconeogenesis",15,6,0.88,"0.00013",0.0198604545454545
"GO:0006081","cellular aldehyde metabolic process",58,14,3.42,"0.00015",0.0219195652173913
"GO:0009853","photorespiration",52,11,3.06,"0.00018",0.0252075
"GO:0006655","phosphatidylglycerol biosynthetic proces...",11,5,0.65,"0.00024",0.0322656
"GO:0071482","cellular response to light stimulus",121,18,7.13,"0.00025",0.0323173076923077
"GO:0005985","sucrose metabolic process",38,9,2.24,"0.00028",0.0348548148148148
"GO:0006418","tRNA aminoacylation for protein translat...",64,12,3.77,"0.00031",0.036971
"GO:1903409","reactive oxygen species biosynthetic pro...",31,8,1.83,"0.00033",0.036971
"GO:0051188","cofactor biosynthetic process",309,53,18.2,"0.00033",0.036971
"GO:0034599","cellular response to oxidative stress",178,26,10.48,"0.00037",0.0401151612903226
"GO:0019674","NAD metabolic process",18,6,1.06,"0.00041",0.0430628125
"GO:0061077","chaperone-mediated protein folding",96,15,5.65,"0.00047",0.0478687878787879
