"GO.ID","Term","Annotated","Significant","Expected","Pvalue","Adj.Pvalue"
"GO:0006468","protein phosphorylation",1249,76,43.55,"1.1e-05",0.036971
"GO:0006995","cellular response to nitrogen starvation",20,6,0.7,"4.5e-05",0.0756225
"GO:0009624","response to nematode",133,14,4.64,"0.00022",0.246473333333333
"GO:0009637","response to blue light",108,12,3.77,"0.00038",0.319295
"GO:0007178","transmembrane receptor protein serine/th...",254,20,8.86,"0.00060",0.40332
"GO:0019374","galactolipid metabolic process",15,4,0.52,"0.00147",0.789835
"GO:0035672","oligopeptide transmembrane transport",16,4,0.56,"0.00190",0.789835
"GO:0010243","response to organonitrogen compound",384,25,13.39,"0.00211",0.789835
"GO:1901002","positive regulation of response to salt ...",28,5,0.98,"0.00256",0.789835
"GO:0009812","flavonoid metabolic process",136,12,4.74,"0.00286",0.789835
"GO:0048580","regulation of post-embryonic development",568,33,19.81,"0.00290",0.789835
"GO:0006355","regulation of transcription, DNA-templat...",2027,93,70.68,"0.00292",0.789835
"GO:0098660","inorganic ion transmembrane transport",511,35,17.82,"0.00308",0.789835
"GO:0030163","protein catabolic process",686,38,23.92,"0.00329",0.789835
"GO:0018107","peptidyl-threonine phosphorylation",43,6,1.5,"0.00356",0.797677333333333
"GO:0010025","wax biosynthetic process",44,6,1.53,"0.00400",0.838382777777778
"GO:0060548","negative regulation of cell death",110,10,3.84,"0.00506",0.838382777777778
"GO:0071805","potassium ion transmembrane transport",111,10,3.87,"0.00539",0.838382777777778
"GO:0046113","nucleobase catabolic process",11,3,0.38,"0.00564",0.838382777777778
"GO:0050878","regulation of body fluid levels",11,3,0.38,"0.00564",0.838382777777778
"GO:0009966","regulation of signal transduction",712,38,24.83,"0.00604",0.838382777777778
"GO:0098655","cation transmembrane transport",489,33,17.05,"0.00609",0.838382777777778
"GO:0010224","response to UV-B",79,8,2.75,"0.00617",0.838382777777778
"GO:0007623","circadian rhythm",169,13,5.89,"0.00632",0.838382777777778
"GO:0009738","abscisic acid-activated signaling pathwa...",377,23,13.15,"0.00681",0.838382777777778
"GO:0009268","response to pH",12,3,0.42,"0.00733",0.838382777777778
"GO:0009065","glutamine family amino acid catabolic pr...",12,3,0.42,"0.00733",0.838382777777778
"GO:0010017","red or far-red light signaling pathway",50,6,1.74,"0.00755",0.838382777777778
"GO:0009740","gibberellic acid mediated signaling path...",83,8,2.89,"0.00827",0.838382777777778
"GO:0080167","response to karrikin",137,11,4.78,"0.00849",0.838382777777778
"GO:0006829","zinc ion transport",37,5,1.29,"0.00877",0.838382777777778
"GO:0042493","response to drug",801,41,27.93,"0.00884",0.838382777777778
"GO:0009651","response to salt stress",716,41,24.97,"0.00886",0.838382777777778
"GO:0009626","plant-type hypersensitive response",84,8,2.93,"0.00887",0.838382777777778
"GO:2001057","reactive nitrogen species metabolic proc...",24,4,0.84,"0.00892",0.838382777777778
"GO:0032787","monocarboxylic acid metabolic process",613,33,21.38,"0.00898",0.838382777777778
"GO:0010099","regulation of photomorphogenesis",25,4,0.87,"0.01033",0.927812894736842
"GO:0042440","pigment metabolic process",200,14,6.97,"0.01049",0.927812894736842
"GO:0042753","positive regulation of circadian rhythm",14,3,0.49,"0.01151",0.968254042553192
"GO:0009967","positive regulation of signal transducti...",203,14,7.08,"0.01185",0.968254042553192
"GO:0071577","zinc ion transmembrane transport",26,4,0.91,"0.01188",0.968254042553192
"GO:0035556","intracellular signal transduction",746,38,26.01,"0.01235",0.968254042553192
"GO:0043288","apocarotenoid metabolic process",41,5,1.43,"0.01346",0.968254042553192
"GO:0009687","abscisic acid metabolic process",41,5,1.43,"0.01346",0.968254042553192
"GO:0010214","seed coat development",41,5,1.43,"0.01346",0.968254042553192
"GO:1902644","tertiary alcohol metabolic process",41,5,1.43,"0.01346",0.968254042553192
"GO:0009751","response to salicylic acid",248,16,8.65,"0.01354",0.968254042553192
"GO:0044257","cellular protein catabolic process",587,31,20.47,"0.01430",1
"GO:0006536","glutamate metabolic process",28,4,0.98,"0.01540",1
"GO:0051704","multi-organism process",1975,86,68.87,"0.01605",1
"GO:0006508","proteolysis",958,46,33.41,"0.01688",1
"GO:0007154","cell communication",2340,125,81.6,"0.01791",1
"GO:0009753","response to jasmonic acid",323,19,11.26,"0.01865",1
"GO:0009814","defense response, incompatible interacti...",258,16,9,"0.01899",1
"GO:0046283","anthocyanin-containing compound metaboli...",61,6,2.13,"0.01919",1
"GO:0098662","inorganic cation transmembrane transport",439,29,15.31,"0.01920",1
"GO:0010200","response to chitin",195,13,6.8,"0.01930",1
"GO:0009415","response to water",511,27,17.82,"0.02121",1
"GO:0009937","regulation of gibberellic acid mediated ...",31,4,1.08,"0.02181",1
"GO:0006631","fatty acid metabolic process",330,19,11.51,"0.02273",1
"GO:0051194","positive regulation of cofactor metaboli...",18,3,0.63,"0.02329",1
"GO:0023056","positive regulation of signaling",247,15,8.61,"0.02670",1
"GO:0071483","cellular response to blue light",33,4,1.15,"0.02687",1
"GO:0006629","lipid metabolic process",1035,51,36.09,"0.02715",1
"GO:1900424","regulation of defense response to bacter...",66,6,2.3,"0.02719",1
"GO:0051603","proteolysis involved in cellular protein...",572,29,19.95,"0.02819",1
"GO:0010114","response to red light",85,7,2.96,"0.02873",1
"GO:0090376","seed trichome differentiation",34,4,1.19,"0.02964",1
"GO:0090378","seed trichome elongation",34,4,1.19,"0.02964",1
"GO:0072348","sulfur compound transport",34,4,1.19,"0.02964",1
"GO:0072523","purine-containing compound catabolic pro...",20,3,0.7,"0.03091",1
"GO:0009414","response to water deprivation",505,26,17.61,"0.03098",1
"GO:0015748","organophosphate ester transport",87,7,3.03,"0.03208",1
"GO:0010647","positive regulation of cell communicatio...",254,15,8.86,"0.03305",1
"GO:0009816","defense response to bacterium, incompati...",88,7,3.07,"0.03385",1
"GO:0006970","response to osmotic stress",827,49,28.84,"0.03396",1
"GO:1901658","glycosyl compound catabolic process",21,3,0.73,"0.03515",1
"GO:0009958","positive gravitropism",37,4,1.29,"0.03893",1
"GO:0006714","sesquiterpenoid metabolic process",72,6,2.51,"0.03937",1
"GO:0015996","chlorophyll catabolic process",22,3,0.77,"0.03968",1
"GO:0043289","apocarotenoid biosynthetic process",22,3,0.77,"0.03968",1
"GO:0046149","pigment catabolic process",22,3,0.77,"0.03968",1
"GO:0009688","abscisic acid biosynthetic process",22,3,0.77,"0.03968",1
"GO:0009608","response to symbiont",22,3,0.77,"0.03968",1
"GO:1902645","tertiary alcohol biosynthetic process",22,3,0.77,"0.03968",1
"GO:0009733","response to auxin",495,25,17.26,"0.04111",1
"GO:0009617","response to bacterium",642,31,22.39,"0.04199",1
"GO:0046323","glucose import",38,4,1.33,"0.04235",1
"GO:0008645","hexose transmembrane transport",38,4,1.33,"0.04235",1
"GO:0015749","monosaccharide transmembrane transport",38,4,1.33,"0.04235",1
