"GO.ID","Term","Annotated","Significant","Expected","Pvalue","Adj.Pvalue"
"GO:0010200","response to chitin",195,37,6.96,"4.3e-17",1.44179e-13
"GO:0009607","response to biotic stimulus",1490,108,53.19,"3.1e-13",3.55418e-10
"GO:0051707","response to other organism",1478,107,52.76,"4.5e-13",3.55418e-10
"GO:0010243","response to organonitrogen compound",384,46,13.71,"4.7e-13",3.55418e-10
"GO:0043207","response to external biotic stimulus",1482,107,52.9,"5.3e-13",3.55418e-10
"GO:0006952","defense response",1284,96,45.83,"1.5e-12",8.3825e-10
"GO:0044419","interspecies interaction between organis...",1532,107,54.68,"4.3e-12",1.9698875e-09
"GO:0006950","response to stress",3949,212,140.96,"4.7e-12",1.9698875e-09
"GO:0050896","response to stimulus",6855,321,244.69,"5.5e-12",2.04905555555556e-09
"GO:1901700","response to oxygen-containing compound",2376,145,84.81,"8.8e-12",2.95064e-09
"GO:0098542","defense response to other organism",1134,85,40.48,"3.2e-11",9.75418181818182e-09
"GO:0006468","protein phosphorylation",1249,90,44.58,"6.3e-11",1.760325e-08
"GO:0006464","cellular protein modification process",2572,150,91.81,"1.1e-10",2.6345e-08
"GO:0036211","protein modification process",2572,150,91.81,"1.1e-10",2.6345e-08
"GO:0009605","response to external stimulus",2031,126,72.5,"1.2e-10",2.6824e-08
"GO:0001101","response to acid chemical",1518,100,54.18,"7.1e-10",1.48789375e-07
"GO:0031347","regulation of defense response",366,38,13.06,"3.4e-09",6.706e-07
"GO:1901698","response to nitrogen compound",559,49,19.95,"5.6e-09",1.04315555555556e-06
"GO:0048583","regulation of response to stimulus",1313,87,46.87,"8.8e-09",1.55296842105263e-06
"GO:0009611","response to wounding",419,40,14.96,"1.5e-08",2.51475e-06
"GO:0080134","regulation of response to stress",558,47,19.92,"4.0e-08",6.38666666666667e-06
"GO:0065007","biological regulation",6398,288,228.37,"5.9e-08",8.99213636363636e-06
"GO:0051704","multi-organism process",1975,114,70.5,"7.4e-08",1.07879130434783e-05
"GO:0016310","phosphorylation",1541,94,55.01,"1.1e-07",1.53679166666667e-05
"GO:0007165","signal transduction",2046,116,73.03,"1.4e-07",1.87768e-05
"GO:0023052","signaling",2093,118,74.71,"1.5e-07",1.93442307692308e-05
"GO:0009617","response to bacterium",642,50,22.92,"1.7e-07",2.11114814814815e-05
"GO:0009753","response to jasmonic acid",323,32,11.53,"1.8e-07",2.1555e-05
"GO:0042493","response to drug",801,58,28.59,"2.0e-07",2.31241379310345e-05
"GO:0032101","regulation of response to external stimu...",293,30,10.46,"2.2e-07",2.45886666666667e-05
"GO:0050789","regulation of biological process",5695,259,203.28,"2.9e-07",3.03865625e-05
"GO:0006796","phosphate-containing compound metabolic ...",2143,119,76.49,"2.9e-07",3.03865625e-05
"GO:0042742","defense response to bacterium",525,43,18.74,"3.4e-07",3.45460606060606e-05
"GO:0007154","cell communication",2340,127,83.53,"3.6e-07",3.55023529411765e-05
"GO:0050794","regulation of cellular process",5133,236,183.22,"7.6e-07",7.26483333333333e-05
"GO:0006793","phosphorus metabolic process",2183,119,77.92,"7.8e-07",7.26483333333333e-05
"GO:0010033","response to organic substance",2800,144,99.95,"1.1e-06",9.96837837837838e-05
"GO:0071395","cellular response to jasmonic acid stimu...",148,19,5.28,"1.3e-06",0.000114707894736842
"GO:0045087","innate immune response",491,39,17.53,"2.6e-06",0.000223533333333333
"GO:0002831","regulation of response to biotic stimulu...",264,26,9.42,"2.9e-06",0.0002430925
"GO:0009867","jasmonic acid mediated signaling pathway",144,18,5.14,"3.7e-06",0.000302587804878049
"GO:0000160","phosphorelay signal transduction system",174,20,6.21,"4.1e-06",0.000327316666666667
"GO:0035556","intracellular signal transduction",746,51,26.63,"6.1e-06",0.000475658139534884
"GO:0006955","immune response",549,41,19.6,"6.5e-06",0.000495329545454545
"GO:0009415","response to water",511,39,18.24,"6.7e-06",0.000499224444444444
"GO:0071229","cellular response to acid chemical",457,36,16.31,"7.6e-06",0.000553973913043478
"GO:0009873","ethylene-activated signaling pathway",152,18,5.43,"8.1e-06",0.000577857446808511
"GO:0009755","hormone-mediated signaling pathway",1012,63,36.12,"1.0e-05",0.000698541666666667
"GO:0044550","secondary metabolite biosynthetic proces...",373,31,13.31,"1.1e-05",0.000752714285714286
"GO:0009414","response to water deprivation",505,38,18.03,"1.2e-05",0.000788941176470588
"GO:0042221","response to chemical",4013,187,143.24,"1.2e-05",0.000788941176470588
"GO:0044267","cellular protein metabolic process",3402,163,121.43,"1.3e-05",0.00083825
"GO:0044260","cellular macromolecule metabolic process",5995,261,213.99,"1.4e-05",0.000885698113207547
"GO:0009723","response to ethylene",397,32,14.17,"1.5e-05",0.000931388888888889
"GO:0009725","response to hormone",2235,114,79.78,"3.2e-05",0.00195083636363636
"GO:0043412","macromolecule modification",3177,152,113.4,"3.3e-05",0.001975875
"GO:0009864","induced systemic resistance, jasmonic ac...",27,7,0.96,"3.4e-05",0.0020000350877193
"GO:0009268","response to pH",12,5,0.43,"3.7e-05",0.00213898275862069
"GO:0009719","response to endogenous stimulus",2295,116,81.92,"4.0e-05",0.00227322033898305
"GO:0071704","organic substance metabolic process",9356,376,333.96,"4.1e-05",0.00229121666666667
"GO:0071369","cellular response to ethylene stimulus",174,18,6.21,"5.1e-05",0.00280332786885246
"GO:0002218","activation of innate immune response",86,12,3.07,"5.2e-05",0.0028121935483871
"GO:0045088","regulation of innate immune response",192,19,6.85,"5.9e-05",0.003091046875
"GO:0019538","protein metabolic process",3699,171,132.03,"5.9e-05",0.003091046875
"GO:0010105","negative regulation of ethylene-activate...",63,10,2.25,"7.2e-05",0.00365781818181818
"GO:0070298","negative regulation of phosphorelay sign...",63,10,2.25,"7.2e-05",0.00365781818181818
"GO:0050776","regulation of immune response",229,21,8.17,"7.4e-05",0.00370331343283582
"GO:0002253","activation of immune response",90,12,3.21,"8.2e-05",0.00398472463768116
