"GO.ID","Term","Annotated","Significant","Expected","Pvalue","Adj.Pvalue"
"GO:0010200","response to chitin",195,37,6.96,"4.3e-17",1.44523e-13
"GO:0006468","protein phosphorylation",1249,90,44.58,"1.9e-09",3.19295e-06
"GO:0009611","response to wounding",419,40,14.96,"1.5e-08",1.6805e-05
"GO:0051704","multi-organism process",1975,114,70.5,"7.4e-08",6.21785e-05
"GO:0009864","induced systemic resistance, jasmonic ac...",27,7,0.96,"3.4e-05",0.01596475
"GO:0031347","regulation of defense response",366,38,13.06,"3.6e-05",0.01596475
"GO:0009268","response to pH",12,5,0.43,"3.7e-05",0.01596475
"GO:0042742","defense response to bacterium",525,43,18.74,"3.8e-05",0.01596475
"GO:0010105","negative regulation of ethylene-activate...",63,10,2.25,"7.2e-05",0.026888
"GO:0051865","protein autoubiquitination",52,9,1.86,"8.2e-05",0.0275602
"GO:0009693","ethylene biosynthetic process",32,7,1.14,"0.00011",0.03361
"GO:0009414","response to water deprivation",505,38,18.03,"0.00012",0.03361
"GO:0050832","defense response to fungus",458,32,16.35,"0.00023",0.0594638461538462
"GO:0002213","defense response to insect",28,6,1,"0.00039",0.0924275
"GO:0052031","modulation by symbiont of host defense r...",19,5,0.68,"0.00044",0.0924275
"GO:0052167","modulation by symbiont of host innate im...",19,5,0.68,"0.00044",0.0924275
"GO:0044550","secondary metabolite biosynthetic proces...",373,31,13.31,"0.00058",0.114669411764706
"GO:0002831","regulation of response to biotic stimulu...",264,26,9.42,"0.00076",0.141908888888889
"GO:0009962","regulation of flavonoid biosynthetic pro...",44,7,1.57,"0.00086",0.147884
"GO:0031098","stress-activated protein kinase signalin...",57,8,2.03,"0.00088",0.147884
"GO:0009809","lignin biosynthetic process",47,7,1.68,"0.00129",0.206461428571429
"GO:0032107","regulation of response to nutrient level...",16,4,0.57,"0.00207",0.316239545454545
"GO:0009814","defense response, incompatible interacti...",258,19,9.21,"0.00234",0.337500416666667
"GO:0009409","response to cold",570,34,20.35,"0.00241",0.337500416666667
"GO:0032147","activation of protein kinase activity",67,8,2.39,"0.00256",0.341270769230769
"GO:0048527","lateral root development",149,13,5.32,"0.00264",0.341270769230769
"GO:0009867","jasmonic acid mediated signaling pathway",144,18,5.14,"0.00282",0.347689655172414
"GO:1903506","regulation of nucleic acid-templated tra...",2070,105,73.89,"0.00299",0.347689655172414
"GO:0016125","sterol metabolic process",84,9,3,"0.00300",0.347689655172414
"GO:0009646","response to absence of light",56,7,2,"0.00362",0.3917665625
"GO:0009723","response to ethylene",397,32,14.17,"0.00365",0.3917665625
"GO:0045893","positive regulation of transcription, DN...",542,32,19.35,"0.00373",0.3917665625
"GO:0009753","response to jasmonic acid",323,32,11.53,"0.00398",0.40535696969697
"GO:0009939","positive regulation of gibberellic acid ...",10,3,0.36,"0.00450",0.438850571428571
"GO:0009738","abscisic acid-activated signaling pathwa...",377,24,13.46,"0.00457",0.438850571428571
"GO:0045332","phospholipid translocation",20,4,0.71,"0.00493",0.460270277777778
"GO:0000160","phosphorelay signal transduction system",174,20,6.21,"0.00570",0.517775675675676
"GO:0051707","response to other organism",1478,107,52.76,"0.00616",0.544835789473684
"GO:1902584","positive regulation of response to water...",22,4,0.79,"0.00704",0.564167857142857
"GO:0043406","positive regulation of MAP kinase activi...",22,4,0.79,"0.00704",0.564167857142857
"GO:0043928","exonucleolytic catabolism of deadenylate...",22,4,0.79,"0.00704",0.564167857142857
"GO:0016567","protein ubiquitination",581,39,20.74,"0.00705",0.564167857142857
"GO:0051176","positive regulation of sulfur metabolic ...",12,3,0.43,"0.00782",0.611233023255814
"GO:1900055","regulation of leaf senescence",50,6,1.78,"0.00843",0.617401086956522
"GO:0035967","cellular response to topologically incor...",50,6,1.78,"0.00843",0.617401086956522
"GO:0006970","response to osmotic stress",827,43,29.52,"0.00845",0.617401086956522
"GO:0031348","negative regulation of defense response",99,9,3.53,"0.00884",0.632154042553192
"GO:0010193","response to ozone",51,6,1.82,"0.00927",0.649093125
"GO:0032102","negative regulation of response to exter...",67,7,2.39,"0.00971",0.666026734693878
